-392 4819.46 8.48042
-384 3772.4 8.23547
-376 2888.41 7.96846
-368 2152.5 7.67439
-360 1550.25 7.34617
-352 1067.87 6.97342
-344 692.191 6.53986
-336 410.718 6.01791
-328 211.616 5.35477
-320 83.7325 4.42763
-312 16.6047 2.80969
-304 0.465309 -0.765053
-296 26.2454 3.26749
-288 85.5744 4.44939
-280 170.777 5.14036
-272 274.866 5.61629
-264 391.538 5.97008
-256 515.154 6.24447
-248 640.733 6.46261
-240 763.93 6.63848
-232 881.019 6.78108
-224 988.87 6.89656
-216 1084.92 6.98926
-208 1167.16 7.06233
-200 1234.09 7.11809
-192 1284.7 7.15828
-184 1318.42 7.18419
-176 1335.12 7.19678
-168 1335.05 7.19672
-160 1318.78 7.18446
-152 1287.23 7.16025
-144 1241.57 7.12413
-136 1183.21 7.07598
-128 1113.74 7.01548
-120 1034.94 6.9421
-112 948.688 6.85508
-104 856.94 6.75337
-96 761.708 6.63556
-88 665.012 6.4998
-80 568.844 6.34361
-72 475.145 6.16362
-64 385.767 5.95523
-56 302.448 5.71191
-48 226.784 5.424
-40 160.209 5.07648
-32 103.971 4.64412
-24 59.1175 4.07953
-16 26.4767 3.27627
-8 6.64963 1.89456
0 0 -inf
8 6.64963 1.89456
16 26.4767 3.27627
24 59.1175 4.07953
32 103.971 4.64412
40 160.209 5.07648
48 226.784 5.424
56 302.448 5.71191
64 385.767 5.95523
72 475.145 6.16362
80 568.844 6.34361
88 665.012 6.4998
96 761.708 6.63556
104 856.94 6.75337
112 948.688 6.85508
120 1034.94 6.9421
128 1113.74 7.01548
136 1183.21 7.07598
144 1241.57 7.12413
152 1287.23 7.16025
160 1318.78 7.18446
168 1335.05 7.19672
176 1335.12 7.19678
184 1318.42 7.18419
192 1284.7 7.15828
200 1234.09 7.11809
208 1167.16 7.06233
216 1084.92 6.98926
224 988.87 6.89656
232 881.019 6.78108
240 763.93 6.63848
248 640.733 6.46261
256 515.154 6.24447
264 391.538 5.97008
272 274.866 5.61629
280 170.777 5.14036
288 85.5744 4.44939
296 26.2454 3.26749
304 0.465309 -0.765053
312 16.6047 2.80969
320 83.7325 4.42763
328 211.616 5.35477
336 410.718 6.01791
344 692.191 6.53986
352 1067.87 6.97342
360 1550.25 7.34617
368 2152.5 7.67439
376 2888.41 7.96846
384 3772.4 8.23547
392 4819.46 8.48042
